Age	Gender	Race	Continent	Sushi	Alligator	FrogLegs	Caviar	Fugu	Lutefisk
24	Male	White	n/a	1	0	1	0	0	0
28	Female	White	North America	1	0	0	0	0	0
21	Female	White	Europe	1	0	0	1	0	0
23	Female	White	Europe	1	0	0	0	0	0
19	Female	n/a	North America	1	0	0	0	0	0
15	Female	Asian	Asia	0	0	0	0	0	0
35	Male	White	North America	1	0	0	0	0	0
31	Female	White	North America	1	1	0	1	0	0
21	Female	n/a	Europe	1	0	0	0	0	0
31	Male	White	Europe	1	0	0	1	0	0
27	Female	White	North America	0	0	0	0	0	0
30	Female	Two or More Races	North America	1	0	1	0	0	0
30	Male	White	Europe	1	0	1	0	0	0
30	Male	White	North America	1	0	0	1	0	1
15	Male	White	Oceania	1	0	0	0	0	0
35	Male	White	Europe	1	0	0	0	0	0
31	Female	Asian	Asia	1	0	1	1	1	0
19	Female	White	Europe	1	0	0	0	0	0
22	Male	White	Europe	0	0	0	0	0	0
30	Male	White	North America	1	0	0	0	0	0
39	Male	White	Europe	1	1	0	0	0	0
34	Female	White	Europe	1	0	0	1	0	0
28	Female	Two or More Races	North America	1	0	0	0	0	0
18	Male	Two or More Races	North America	1	0	0	0	0	0
46	Male	White	North America	1	1	1	1	0	0
22	Male	White	Europe	1	0	1	1	1	1
28	Female	n/a	n/a	1	0	0	1	0	0
21	Female	White	North America	0	0	0	0	0	0
18	Male	Two or More Races	Europe	1	0	0	0	0	0
25	Male	White	North America	1	0	0	0	0	0
20	Male	White	Europe	0	0	0	0	0	0
23	Female	White	North America	1	0	0	0	0	0
38	Female	White	Oceania	1	1	0	0	0	0
17	Male	White	Europe	1	0	0	1	0	0
36	Female	White	North America	1	1	1	1	0	0
21	Female	White	North America	1	0	0	1	0	0
35	Male	White	North America	1	0	0	0	0	0
46	Female	n/a	North America	1	0	0	1	0	1
29	Female	White	North America	1	0	0	1	0	0
29	Female	White	North America	1	0	0	0	0	0
23	Female	White	North America	1	0	0	0	0	0
20	Female	White	North America	1	0	0	0	0	0
22	Male	White	North America	1	0	0	0	0	0
21	Male	Two or More Races	Oceania	0	0	0	0	0	0
38	Female	White	North America	1	0	0	1	0	0
24	Male	White	North America	1	1	0	1	0	0
23	Female	White	North America	1	1	0	0	0	0
22	Female	White	North America	1	1	0	0	0	0
33	Female	White	Europe	1	0	0	1	0	0
26	Male	White	North America	1	1	0	1	0	0
21	Female	Asian	Asia	1	0	0	0	0	0
25	Female	Asian	Europe	1	0	0	1	0	1
32	Female	White	Europe	1	0	1	1	0	0
21	Male	Asian	North America	1	0	0	0	0	0
24	Female	White	North America	0	0	0	0	0	0
30	Other	White	Europe	1	0	0	0	0	0
16	Male	Two or More Races	Europe	1	0	1	0	0	0
22	Male	Asian	North America	1	0	0	1	0	0
23	Male	White	North America	1	1	0	0	0	0
22	Male	White	Europe	1	0	1	1	1	1
49	Female	White	North America	0	0	0	1	0	0
22	Female	White	n/a	1	0	0	0	0	0
32	Male	White	South America	0	0	0	0	0	0
48	Female	White	North America	0	1	0	0	0	0
59	Female	White	North America	1	1	1	1	0	0
20	Male	White	Asia	1	0	0	0	0	0
22	Male	White	Europe	1	0	0	0	0	0
25	Female	White	North America	1	1	0	0	0	0
29	Female	White	South America	1	0	0	0	0	0
26	Male	White	Europe	1	0	1	0	0	0
22	Female	White	North America	1	0	0	0	0	0
20	Female	White	North America	1	0	0	0	0	0
25	Female	Asian	Asia	1	0	0	0	0	0
29	Male	White	North America	1	1	1	1	0	0
23	Female	Asian	North America	1	0	1	0	0	0
26	Female	White	North America	1	1	1	1	0	0
24	Male	Black or African American	North America	1	0	0	0	0	0
21	Male	White	North America	1	0	0	1	0	0
20	Female	White	North America	1	1	0	1	0	0
24	Male	White	Europe	1	0	0	0	0	0
34	Female	White	North America	1	1	1	0	0	0
19	Female	n/a	North America	1	0	1	0	0	0
14	Male	White	North America	1	0	0	0	0	0
16	Female	White	Europe	1	0	0	1	0	1
30	Male	White	North America	1	1	0	0	1	0
15	Female	White	Europe	1	0	0	1	0	0
19	Male	Two or More Races	Europe	1	0	0	1	0	0
38	Female	White	Europe	1	0	1	1	0	0
23	Female	Two or More Races	North America	1	0	0	0	0	0
20	Female	White	North America	1	0	0	0	0	0
21	Other	n/a	n/a	1	0	0	0	0	0
22	Male	White	Europe	1	0	1	1	1	1
30	Female	White	North America	1	1	1	1	0	0
24	Female	White	North America	1	1	0	1	0	0
24	Other	White	North America	1	0	0	0	0	0
21	Male	White	North America	1	0	0	0	0	0
69	Male	White	North America	1	0	1	1	0	0
19	Other	n/a	Europe	1	0	0	0	0	0
27	Male	White	North America	1	0	0	0	0	0
20	Male	White	Europe	1	0	0	0	0	0
21	Female	White	North America	1	0	0	0	0	0
29	Male	White	North America	1	0	0	0	0	0
26	Male	White	North America	1	0	0	0	0	0
20	Male	White	North America	1	1	0	0	0	0
16	Female	White	North America	1	0	1	0	0	0
41	Female	White	North America	1	0	1	1	0	0
28	Female	White	n/a	1	0	0	1	0	0
21	Male	Asian	Asia	1	0	0	0	0	0
17	Other	White	North America	0	0	0	0	0	0
17	Male	White	North America	0	0	0	0	0	0
30	Female	White	North America	1	0	0	0	0	0
27	Female	Black or African American	North America	0	0	0	0	0	0
24	Male	White	Europe	1	0	1	1	0	0
18	Female	White	North America	0	0	0	0	0	0
27	Female	White	North America	1	0	1	0	0	0
24	Female	Asian	Asia	1	0	1	1	0	0
38	Female	White	North America	1	0	1	1	0	0
16	Male	White	North America	1	0	1	1	0	0
26	Male	White	North America	1	1	0	1	0	0
16	Male	Asian	North America	1	0	0	1	0	0
40	Male	White	North America	1	1	1	1	0	1
18	Male	White	North America	1	1	1	1	0	0
24	Female	White	North America	0	0	0	0	0	0
19	Other	n/a	n/a	0	0	0	0	0	0
16	Male	White	North America	1	0	0	1	0	0
18	Female	White	North America	0	0	0	0	0	0
20	Male	Asian	North America	1	1	1	1	0	0
24	Female	Asian	North America	1	0	0	1	0	0
18	Female	Asian	North America	1	0	0	1	0	0
16	Female	n/a	Oceania	1	0	0	0	0	0
29	Female	White	North America	1	0	0	0	0	0
19	Male	Asian	North America	1	0	0	1	0	0
30	Female	White	North America	1	1	1	1	0	0
20	Female	White	Europe	1	0	0	1	0	0
26	Female	White	North America	1	1	0	0	0	1
29	Male	White	Europe	0	0	0	0	0	0
19	Female	White	Europe	1	0	0	1	0	0
38	Male	White	North America	1	0	0	0	0	0
18	Female	White	Europe	1	0	0	0	0	0
43	Female	White	North America	1	0	0	1	0	0
23	Male	White	North America	1	1	0	1	0	0
20	Female	White	Europe	1	0	1	0	0	0
20	Male	White	Europe	0	0	0	1	0	0
34	Female	White	North America	1	0	0	1	0	0
13	Other	White	North America	0	0	0	0	0	0
18	Male	White	Europe	1	0	0	1	0	0
34	Male	White	North America	1	0	0	0	0	0
24	Female	White	Europe	0	0	0	0	0	0
22	Female	Asian	Asia	1	0	0	1	0	0
17	Female	Black or African American	North America	1	0	0	0	0	0
15	Male	White	North America	1	0	0	0	0	0
20	Male	White	North America	1	1	1	1	0	0
31	Female	White	Europe	1	1	0	1	0	0
33	Female	White	Oceania	1	0	0	0	0	0
17	Female	White	North America	1	0	0	0	0	0
25	Male	Asian	North America	1	0	1	0	0	0
32	Male	White	Europe	1	0	0	0	0	0
23	Female	n/a	North America	1	1	1	0	0	0
42	Male	White	North America	1	1	1	1	0	0
31	Female	White	Europe	1	0	1	1	0	0
53	Male	White	North America	1	0	0	0	0	0
20	Male	White	Europe	1	0	0	1	0	1
28	Male	Asian	North America	1	0	1	1	0	0
16	Female	Asian	North America	1	0	0	0	0	0
19	Female	n/a	Oceania	1	0	1	1	1	0
23	Male	Black or African American	North America	1	1	1	1	0	0
22	Female	White	North America	1	1	0	1	0	0
21	Female	White	Europe	1	0	0	0	0	0
19	Female	White	Oceania	1	0	0	0	0	0
26	Male	White	North America	1	0	0	0	0	0
24	Female	White	Europe	1	0	1	0	0	0
43	Male	White	Africa	0	0	0	0	0	0
15	Female	White	Europe	1	0	0	1	0	0
28	Female	Black or African American	North America	1	0	0	0	0	0
66	Female	White	North America	1	1	1	0	0	0
16	Male	White	South America	1	0	0	1	0	0
49	Female	White	North America	0	0	0	0	0	0
29	Female	White	Europe	1	0	1	0	0	0
26	Female	White	North America	1	1	0	0	0	0
26	Female	White	North America	1	1	1	0	0	0
22	Male	Two or More Races	South America	1	1	0	0	0	0
39	Male	White	Europe	1	0	0	0	0	0
24	Male	Two or More Races	North America	1	0	0	0	0	0
23	Male	White	Europe	1	0	0	1	0	0
22	Male	White	North America	1	0	0	0	0	0
26	Female	White	Europe	1	0	0	1	0	0
32	Male	White	Oceania	1	0	0	0	0	0
47	Female	White	North America	1	1	1	1	0	0
21	Male	White	Europe	1	0	0	0	0	0
20	Female	White	Europe	1	0	0	0	0	0
24	Female	White	North America	1	0	0	0	0	0
24	Other	n/a	n/a	1	0	0	1	0	0
26	Male	Black or African American	Europe	1	0	0	0	0	0
47	Female	n/a	n/a	1	0	1	0	0	0
46	Female	White	North America	1	1	0	1	0	0
27	Male	White	Europe	1	0	0	1	0	0
29	Female	White	North America	1	1	1	0	0	0
27	Male	White	North America	1	0	0	0	0	0
32	Female	White	Europe	1	0	0	1	0	0
23	Female	White	Europe	1	0	0	0	0	0
16	Female	n/a	South America	1	0	0	1	0	0
34	Female	White	North America	1	0	0	0	0	0
26	Other	White	North America	1	0	0	1	0	0
29	Female	White	North America	1	1	1	0	0	0
19	Female	Asian	North America	1	1	0	0	0	0
28	Female	White	North America	1	0	0	0	0	0
31	Male	n/a	North America	0	0	0	0	0	0
25	Male	Black or African American	North America	1	1	0	0	0	0
22	Female	Two or More Races	Oceania	1	0	0	0	0	0
20	Female	White	Europe	1	0	1	1	0	0
24	Male	n/a	Oceania	1	0	1	1	0	0
17	Male	n/a	North America	1	0	1	1	1	0
47	Female	White	North America	1	0	0	1	0	0
22	Male	White	North America	1	0	1	1	0	1
52	Female	White	North America	1	0	1	1	0	0
19	Female	Two or More Races	North America	1	0	0	0	0	0
13	Female	White	Europe	1	0	0	0	0	0
15	Female	White	n/a	1	0	1	1	0	0
17	Female	White	North America	1	1	1	1	0	0
31	Female	Asian	Europe	1	0	1	1	0	0
50	Female	White	North America	1	0	0	0	0	0
20	Male	White	North America	1	0	0	1	0	0
46	Female	White	North America	1	1	0	0	0	0
29	Male	White	Europe	1	1	0	1	0	0
14	Male	White	North America	1	1	1	0	0	0
15	Female	Asian	North America	1	0	0	1	0	0
23	Female	Black or African American	Europe	1	0	0	0	0	0
40	Male	n/a	Europe	1	0	0	1	0	0
21	Male	White	North America	1	0	0	0	0	0
18	Other	White	North America	0	0	0	0	0	0
20	Female	White	Europe	0	0	0	0	0	0
25	Male	White	Europe	1	1	1	1	0	1
40	Female	White	North America	1	0	0	1	0	0
24	Female	White	Oceania	1	0	0	0	0	0
28	Male	White	Europe	0	0	0	1	0	0
18	Female	White	Europe	1	0	0	0	0	0
16	Female	Asian	Europe	1	0	0	1	0	0
32	Male	White	Europe	1	0	0	1	0	0
23	Female	White	North America	1	1	1	1	0	0
23	Female	White	South America	1	0	0	0	0	0
31	Male	White	Europe	1	1	0	1	0	0
25	Female	White	Europe	1	1	0	1	0	0
19	Male	Two or More Races	Europe	1	0	1	1	0	0
28	Female	White	North America	1	0	1	1	0	0
25	Female	White	Europe	1	0	1	1	0	0
16	Male	Asian	North America	1	1	1	1	0	0
25	Male	Two or More Races	North America	1	1	0	1	0	0
19	Female	Asian	North America	1	0	1	0	0	1
52	Female	White	North America	1	1	1	1	0	0
31	Female	White	North America	1	0	1	1	0	0
19	Male	White	North America	1	0	0	0	0	0
30	Female	White	North America	1	0	0	1	0	0
20	Male	White	Europe	1	0	0	1	0	0
19	Female	White	North America	0	0	1	0	0	0
17	Female	Asian	Europe	1	0	0	0	0	0
20	Female	White	Asia	1	0	0	1	0	0
27	Male	n/a	n/a	1	0	0	1	0	0
20	Other	White	North America	1	0	0	1	0	0
45	Male	White	North America	1	0	0	0	0	0
31	Female	White	North America	1	1	0	0	0	0
36	Female	White	Europe	1	1	0	1	0	0
10	Male	White	North America	0	0	0	0	0	0
19	Female	White	South America	1	0	0	0	0	0
19	Female	White	Europe	1	0	0	1	0	1
39	Female	White	Oceania	1	0	0	1	0	0
27	Female	White	North America	1	1	1	1	0	1
37	Female	White	North America	1	0	0	1	0	0
16	Male	Black or African American	n/a	1	0	0	0	0	0
33	Other	Two or More Races	North America	1	0	1	0	0	0
32	Female	White	Europe	1	0	0	1	0	0
39	Male	White	North America	1	0	1	1	0	1
24	Male	Asian	Asia	0	0	0	0	0	0
32	Female	White	North America	1	0	0	1	0	0
28	Female	White	North America	1	1	1	0	0	1
26	Female	White	Europe	1	0	1	1	0	0
23	Female	Asian	North America	1	0	0	0	0	0
24	Male	White	Europe	1	0	0	1	0	0
25	Male	Two or More Races	North America	1	0	0	0	0	0
24	Male	White	Europe	1	0	1	1	0	1
26	Female	White	Europe	1	0	0	1	0	0
14	Other	White	North America	0	0	0	0	0	0
40	Male	n/a	North America	1	1	0	0	0	0
30	Male	White	North America	1	1	1	1	0	0
21	Female	White	North America	1	0	0	1	0	0
27	Female	White	North America	1	1	1	0	0	0
15	Male	Asian	Asia	1	0	0	0	0	0
37	Female	White	Europe	1	0	0	1	0	0
23	Male	Asian	Oceania	1	0	0	1	0	0
38	Male	White	Europe	1	0	0	1	0	0
21	Male	Asian	North America	1	0	0	0	0	0
20	Male	White	Europe	0	0	0	0	0	0
19	Male	White	Europe	1	0	0	0	0	0
31	Other	White	North America	1	0	0	0	0	0
35	Male	White	North America	1	1	1	0	0	0
39	Female	White	North America	1	0	1	0	0	0
22	Female	White	Europe	1	0	0	0	0	0
42	Male	White	North America	1	0	1	1	0	0
55	Male	White	North America	1	1	1	1	0	0
20	Female	White	North America	0	1	0	0	0	0
23	Male	White	North America	0	0	0	0	0	0
13	Male	Asian	North America	1	0	0	0	0	0
23	Female	White	North America	1	0	0	0	0	0
31	Female	White	North America	1	1	0	0	0	0
33	Female	White	n/a	1	0	0	1	0	0
27	Female	White	Oceania	1	1	1	1	1	0
19	Male	White	North America	1	0	0	0	0	0
20	Female	White	Europe	1	0	0	1	0	0
27	Female	White	North America	1	0	0	0	0	0
54	Male	White	Europe	1	0	0	1	0	0
24	Female	White	Europe	1	0	0	1	0	0
21	Male	White	North America	1	1	0	0	0	0
28	Male	n/a	Europe	1	0	0	0	0	0
24	Male	White	North America	1	1	1	1	0	0
21	Male	White	n/a	1	1	0	1	0	0
17	Female	White	Europe	0	0	0	0	0	0
21	Male	White	Europe	1	0	0	0	0	0
29	Male	Two or More Races	South America	1	1	1	0	0	0
18	Male	White	Europe	1	0	0	1	0	0
27	Male	White	North America	1	0	0	0	0	1
32	Female	White	Oceania	1	0	0	0	0	0
22	Male	White	North America	1	0	0	0	0	0
38	Female	Asian	Oceania	1	0	1	1	0	0
23	Female	Two or More Races	North America	1	0	0	0	0	0
14	Male	Asian	Europe	1	0	0	1	0	0
33	Female	White	Europe	1	0	1	1	0	0
30	Female	White	Africa	1	1	0	0	0	0
29	Female	White	Europe	1	0	0	0	0	0
16	Female	White	North America	1	0	0	1	0	0
25	Female	Asian	North America	1	0	1	0	0	0
30	Female	White	North America	1	0	0	1	0	0
23	Male	White	Europe	0	0	0	0	0	0
16	Male	White	North America	1	1	0	1	0	0
27	Male	White	North America	1	1	1	0	0	0
22	Male	White	Europe	1	0	1	1	1	1
17	Other	n/a	n/a	1	0	0	1	0	0
21	Female	Asian	North America	1	0	1	0	0	0
25	Male	White	Europe	1	0	0	0	0	0
19	Female	Black or African American	North America	1	0	0	0	0	0
59	Male	White	North America	1	1	1	1	0	0
23	Male	Two or More Races	North America	0	0	0	0	0	0
18	Female	White	North America	1	0	0	0	0	0
25	Male	White	Europe	0	0	0	1	0	0
19	Male	White	North America	0	0	0	0	0	0
17	Male	Asian	Europe	1	1	0	1	0	0
18	Other	White	Europe	0	0	0	0	0	0
35	Female	White	Oceania	1	0	0	1	0	0
24	Female	White	Europe	1	0	0	1	0	0
24	Other	White	North America	1	0	0	0	0	0
20	Male	White	South America	1	0	0	0	0	0
42	Female	White	North America	1	0	0	1	0	0
17	Male	White	Europe	0	0	0	0	0	0
37	Female	White	North America	1	0	0	0	0	0
21	Male	White	North America	1	0	0	0	0	1
16	Female	Asian	North America	1	0	0	0	0	0
17	Female	Asian	Europe	1	0	0	0	0	0
18	Male	White	Europe	1	0	0	1	0	0
23	Male	White	Europe	1	1	1	1	0	0
20	Female	White	Europe	1	0	0	1	0	0
17	Male	White	North America	1	0	0	1	0	0
29	Female	White	North America	1	0	0	0	0	0
43	Male	White	North America	1	0	0	1	0	0
24	Female	Two or More Races	South America	1	0	1	0	0	0
27	Female	White	Europe	1	0	0	1	0	0
18	Male	Two or More Races	South America	1	0	0	0	0	0
18	Male	White	n/a	1	0	0	0	0	0
17	Female	White	Asia	1	0	0	0	0	0
29	Female	Two or More Races	North America	1	0	0	0	0	0
25	Male	White	North America	1	0	0	0	0	0
29	Female	White	North America	1	1	0	0	0	0
15	Male	Asian	North America	1	0	0	0	0	0
30	Male	White	North America	0	0	0	0	0	0
31	Female	White	North America	1	1	0	0	0	0
54	Male	White	North America	1	1	1	1	0	1
27	Female	Two or More Races	North America	1	0	0	0	0	0
40	Male	White	Europe	1	0	0	0	0	0
25	Female	White	North America	1	0	0	0	0	0
26	Female	White	North America	1	1	0	0	0	0
27	Female	Two or More Races	North America	1	0	0	1	0	0
28	Female	White	Europe	0	0	0	0	0	0
29	Male	White	Oceania	1	1	0	1	0	0
17	Female	White	Europe	0	0	0	0	0	0
26	Male	White	Oceania	1	0	0	0	0	0
14	Male	Asian	Asia	1	0	0	0	0	0
23	Female	White	Europe	1	0	0	1	0	0
25	Male	White	North America	1	1	0	1	0	0
14	Male	White	North America	1	0	0	0	0	0
34	Female	White	North America	1	0	0	0	0	0
37	Male	White	North America	1	0	0	0	0	0
18	Female	White	North America	1	0	0	0	0	0
19	Other	White	North America	1	0	1	0	0	0
20	Female	White	Europe	1	0	0	1	0	0
15	Male	White	Europe	0	0	0	0	0	0
22	Female	White	North America	1	1	0	0	0	0
29	Female	White	North America	1	0	0	0	0	0
37	Female	Two or More Races	Oceania	1	0	0	0	0	0
25	Male	White	Europe	1	0	0	0	0	0
35	Female	White	Oceania	1	0	0	1	0	0
17	Male	White	North America	1	0	1	0	0	0
53	Female	White	North America	1	0	0	1	0	0
25	Female	n/a	Europe	1	0	0	0	0	0
34	Female	White	North America	1	0	0	0	0	0
21	Female	White	n/a	1	1	0	0	0	1
21	Male	White	Oceania	1	1	0	0	0	0
